equation,orig,e_orig,apo,e_apo,raw1,e_raw1,raw2,e_raw2,adj1,e_adj1,adj2,e_adj2
1,2.43115234375,0.32611083984375,2.353515625,0.32501220703125,2.31640625,0.31988525390625,2.316724595427524,0.31993149560818374,2.3121724480262054,0.3193028601073533,2.310546875,0.319091796875
2,2.93017578125,0.48138427734375,3.05029296875,0.503662109375,3.1494140625,0.52001953125,3.0026096571858383,0.49578867638661633,2.9967098097136318,0.4948144979541558,2.99658203125,0.4947509765625
3,2.75341796875,0.298583984375,2.7978515625,0.3033447265625,2.8427734375,0.3082275390625,2.7541145086721395,0.29860272923430486,2.7487029309523145,0.2980160027668631,2.748046875,0.2979736328125
4,2.5234375,0.2645263671875,2.47900390625,0.2659912109375,2.462890625,0.2642822265625,2.4402511972999044,0.26183313762637833,2.435456331665777,0.2613186599714264,2.43408203125,0.26116943359375
