equation,orig,e_orig,apo,e_apo,raw1,e_raw1,raw2,e_raw2,adj1,e_adj1,adj2,e_adj2
1,1.3291015625,0.0928497314453125,1.155517578125,0.094879150390625,1.16015625,0.095245361328125,1.160961396783044,0.09532614046583784,1.16154481030889,0.095374044349523,1.15869140625,0.09515380859375
2,0.56298828125,0.0816650390625,0.6002197265625,0.0880279541015625,0.595458984375,0.08734130859375,0.6030474527764872,0.08844266715140214,0.6033504999248691,0.08848711190935962,0.603271484375,0.0884857177734375
3,0.74951171875,0.067535400390625,0.74658203125,0.0672760009765625,0.74365234375,0.0670166015625,0.750099292491559,0.0675929484261626,0.750476237043014,0.06762691565407637,0.75,0.06756591796875
4,1.119140625,0.0579986572265625,1.013671875,0.060791015625,1.01513671875,0.06089019775390625,1.0184474370258185,0.061077411324525245,1.018959233552189,0.061108104324300354,1.01708984375,0.06099700927734375
