equation,orig,e_orig,apo,e_apo,adj,e_adj
1,1.447509765625,0.0716400146484375,1.28857421875,0.0885467529296875,1.2787357922126288,0.08787068731301967
2,1.00146484375,0.140289306640625,1.073974609375,0.152618408203125,1.0657746778975663,0.15145314742457744
3,1.13232421875,0.0945281982421875,1.141357421875,0.09527587890625,1.1326430141330126,0.0945484355647932
4,1.3447265625,0.04021453857421875,1.242431640625,0.0556793212890625,1.232945518486182,0.05525420265469737
